;dc_title;page;content
0;MLE_Week_1.pdf;0;"```
University of Amsterdam
Amsterdam School of Economics

Machine Learning for Econometrics

Lecture 1: Statistical Learning Framework

Yi He
October 31, 2023
```"
1;MLE_Week_1.pdf;1;"Plan for Today

1. Course Introduction

2. Motivating Example: Support Vector Machines

3. Beyond SVM: Statistical Learning Framework

4. Unifying Classification and Regression

©UvA                                                                   1"
2;MLE_Week_1.pdf;2;Course Introduction
3;MLE_Week_1.pdf;3;"ML for Econometrics 2023–2024

Our team:

Yi He (Associate Professor)             Ming Cheng (PhD Candidate)

- Tuesday lectures and Thursday tutorials
- Submit pre-class questions by every Wednesday noon.
- Computer labs by my colleague Ming

©UvA                                                                                                                                        2"
4;MLE_Week_1.pdf;4;"What is Machine Learning ... for Economists?

Athey S. (2018), “The Impact of Machine Learning on Economics”:
   ..., machine learning is a field that develops algorithms designed to be applied to datasets, with the main areas of focus being prediction [regression], classification, and clustering or grouping tasks.

   * Statistical Learning Framework: Week 1
   * Deep Learning: Week 2
   * Guest Lecture (Text Analytics): Week 3
   * Boosting: Week 4
   * Random Forest: Week 5
   * Causal inference: Week 6
   
@UvA                                                                                                                                                                                                                                                                                                                                                                                                                   
3"
5;MLE_Week_1.pdf;5;"ML for Econometrics 2023–2024: Assessment

• Computer assignments: 20% + 20% = 40%
• Final exam, 2 hours, 5.5+ to pass: 60%
• Form assignment groups voluntarily until Tue 7 Nov via Canvas
• Max 3 students in each group

@UvA                                                                                                                                  4"
6;MLE_Week_1.pdf;6;"Learning Materials

Our main learning materials are in the online reader:
https://machinelearningtheory.org/

More reference materials:

(Pattern recognition and machine learning). Christopher M. Bishop (Title and Author extracted by OCR from image).
(Deep Learning). Ian Goodfellow and Yoshua Bengio. (Title and Author extracted by OCR from image).
(Computer Age Statistical Inference). Bradley Efron and Trevor Hastie. (Title and Author extracted by OCR from image).

• Links for free online reading of the reference books on Canvas

@UvA    5"
7;MLE_Week_1.pdf;7;Motivating Example: Support Vector Machines
8;MLE_Week_1.pdf;8;"```
Optimal Separating Hyperplane

                         S = {Y_i, X_i : i = 1, ..., n},
                               X_i = (X_i1, ..., X_id)^T ∈ ℝ^d, Y_i ∈ {-1, +1}



Figure 19.1 of Efron and Hastie (2016): linear discriminant function f(x) =
w^T x + w_0, decision rule C(x) = sign(f(x))

©UvA                                                                         6
```"
9;MLE_Week_1.pdf;9;"Signed Distances

    Signed distances from points \( X_i \) to the decision boundary

    \(\{ x : w^T x + w_0 = 0, \|w\| = 1 \} \)

    are given by:
    
    \[
    w^T X_i + w_0 =
    \begin{cases}
    >0 & \Rightarrow C(X_i) = 1 \\
    =0 & \text{ on the boundary, } i = 1, \ldots, n \\
    <0 & \Rightarrow C(X_i) = -1
    \end{cases}
    \]

    Signed distances taking into account the classification errors:

    \[
    Y_i \cdot (w^T X_i + w_0) =
    \begin{cases}
    >0 & \Rightarrow C(X_i) = Y_i \\
    =0 & \text{ on the boundary, } i = 1, \ldots, n \\
    <0 & \Rightarrow C(X_i) \neq Y_i
    \end{cases}
    \]

@UvA"
10;MLE_Week_1.pdf;10;"```
Hard-Margin Support Vector Machine

Assuming separability, maximizing the margins gives hard-margin
SVM [Tute Q1]:

     maximize M
   w,w_0,M

subject to    Y_i · (w^T X_i + w_0) ≥ M ∀ i    ⇔    minimize 1/2 β^T β
                                               β,β_0

             ⎰──────────────Beyond Margin──────────────⎰                   subject to    Y_i(β^T X_i + β_0) ≥ 1 ∀ i

        ‖w‖ = 1

        ... in the sense that they give the same decision boundary

        {x : ŵ^T x + ŵ_0 = 0} = {x : β̂^T x + β̂_0 = 0}

@UvA
```"
11;MLE_Week_1.pdf;11;"```
Soft-Margin Support Vector Machine

The soft-margin SVM, with some hyperparameter C > 0:

        minimize         1/2  β^T β + C ∑(i=1 to n) ξ_i
       β, β_0, {ξ_i}

subject to   Y_i(β^T X_i + β_0)  ≥  1 - ξ_i       ∀i
                                       ⎱
                Violating Margins    ξ_i  ≥  0    ∀i
                                       ⎰

Sending C → ∞ gives the hard-margin version.

For each i, the constraints are
             ⎧                     ⎫
             ⎪ ξ_i ≥ 1 - Y_i(β^T X_i + β_0) ⎪     ⟺  ξ_i ≥ max{1 - Y_i(β^T X_i + β_0), 0}
             ⎨                            ⎬
             ⎪         ξ_i  ≥ 0           ⎪
             ⎩                            ⎭

@UvA                                             9
```"
12;MLE_Week_1.pdf;12;"```
Alternative Formulation of Soft-Margin SVM

Minimizing ξ_i for all i gives that
 ξ_i = max{1 - Y_i(β^T X_i + β_0), 0}

Plugging in the objective function yields a unconstrained problem:
              n
minimize ½β^T β + C ∑ max{1 - Y_i(β^T X_i + β_0), 0}
   β, β_0           i=1          ξ_i

Dividing the objective function by the constant nC does NOT change the solution of β, β_0

               n
minimize λβ^T β + ¹/ₙ ∑ max{1 - Y_i(β^T X_i + β_0), 0}
    β, β_0              i=1

with λ = ¹/2nC > 0.

@UvA                                                                                                 10
```"
13;MLE_Week_1.pdf;13;"Hinge Loss

The objective function
                λβᵀβ +  1/n  Σ   max{1 - Yᵢ ( βᵀXᵢ + β₀ ), 0}
                      i=1        f(Xᵢ;β,β₀)

                =λβᵀβ +  1/n  Σ   ℓₕ( f(Xᵢ ; β, β₀), Yᵢ)
                              i=1

where ℓₕ is called the hinge loss function given by

                ℓₕ(f(x), y) = max{1 - y ⋅ f(x), 0}

and f(x; β, β₀) is a candidate linear prediction rule in form of

                f(x; β, β₀) = βᵀx + β₀

©UvA  11"
14;MLE_Week_1.pdf;14;"Regularized Estimation

The Lagrange multiplier theorem states that:

minimize
\[
\beta, \beta_0 \quad \lambda \beta^T \beta + \frac{1}{n} \sum_{i=1}^{n} \ell_H(f(X_i; \beta, \beta_0), Y_i) \tag{1}
\]

is equivalent to

minimize
\[
\beta, \beta_0 \quad \frac{1}{n} \sum_{i=1}^{n} \ell_H(f(X_i; \beta, \beta_0), Y_i) \quad
\begin{array}{c}
\underbracket[0.5pt]{\text{Empirical Risk}}
\end{array}
\]

subject to \(\beta^T \beta \leq b\) \(\Rightarrow\) Regularization


where \(b = \hat{\beta}^T \hat{\beta}\) where \(\hat{\beta}\) is the solution of (1).

@UvA

12"
15;MLE_Week_1.pdf;15;"Empirical Risk

The empirical hinge risk (= average hinge loss)

L_S(f) = \frac{1}{n} \sum_{i=1}^{n} \ell_H(f(X_i; \boldsymbol{\beta}, \beta_0), Y_i)

is an estimator of the population hinge risk (= expected hinge loss)

L_D(f) = \mathbb{E}L_S(f) = \mathbb{E}[\ell_H(f(X; \boldsymbol{\beta}, \beta_0), Y)]

if Y_i, X_i are i.i.d. observations from the distribution \mathcal{D} of \mathbb{Y}, \mathbb{X}.

 • The regularization improves statistical performance: we will come back to this point later

@UvA 13"
16;MLE_Week_1.pdf;16;"SVM: What Does It Estimate?

Now consider a general, not necessarily linear, candidate prediction rule \( f : \mathbb{R}^d \rightarrow \mathbb{R} \) with the hinge risk
\[ L_D(f) = \mathbb{E}[\ell_H(f(X), Y)] = \mathbb{E}[\max \{0, 1 - Y \cdot f(X)\}]. \]

The ideal prediction rule \( f^* \) minimizing this risk function is
\[ f^*(x) = \text{sign} \left( \mathbb{E}[Y | X = x] \right) \]
\[ = \begin{cases} 
1 & \mathbb{P}(Y = 1 | X = x) > \mathbb{P}(Y = -1 | X = x) \\
-1 & \mathbb{P}(Y = 1 | X = x) < \mathbb{P}(Y = -1 | X = x) 
\end{cases} \]
\[ =: C_{\text{Bayes}}(x) \]

\( C_{\text{Bayes}} \) is called the Bayes classifier.

In other words, the soft-margin SVM is directly estimating the Bayes classifier \( C_{\text{Bayes}}(x) \).

@UvA 14"
